Rank,Name,ELO,Games,Imposter Score,Crewmate Score,General Score,Composite,Confidence,Imp Games,Crew Games,Imp Win%,Crew Win%
1,JackSepticEye,1139,5,0.95,0.478,0.85,0.755,0.548,1,4,100.0,100.0
2,MilkInABag,1099,15,0.897,0.434,0.698,0.675,0.57,3,12,100.0,58.33
3,Simon,1087,358,0.689,0.45,0.629,0.587,0.998,59,273,74.58,50.92
4,Kay,1079,7,0.908,0.336,0.693,0.643,0.553,2,5,100.0,60.0
5,Joe Weller,1077,8,0.767,0.381,0.794,0.64,0.553,1,7,100.0,85.71
6,Tubbo,1071,8,0.767,0.419,0.713,0.629,0.553,1,7,100.0,71.43
7,Courage,1064,10,0.7,0.41,0.755,0.615,0.561,4,6,50.0,50.0
8,Chandler,1058,6,0.708,0.424,0.7,0.606,0.55,1,5,100.0,60.0
9,Tobi,1056,372,0.555,0.47,0.658,0.556,1.0,76,275,42.11,47.64
10,Fresh,1051,10,0.9,0.331,0.54,0.593,0.556,1,9,100.0,33.33
11,JME,1050,35,0.625,0.454,0.664,0.577,0.652,12,21,33.33,66.67
12,Vik,1049,383,0.612,0.344,0.715,0.549,1.0,78,286,58.97,48.6
13,Muselk,1049,9,0.706,0.396,0.678,0.589,0.555,1,8,100.0,62.5
14,Pewdiepie,1046,5,0.0,0.45,0.76,0.59,0.523,0,5,0.0,80.0
15,Lazarbeam,1043,238,0.608,0.352,0.691,0.543,0.994,48,178,56.25,46.07
16,JackSucksAtLife,1039,27,0.737,0.252,0.731,0.565,0.606,1,23,100.0,43.48
17,Marlon,1034,7,0.55,0.382,0.786,0.562,0.551,1,6,100.0,83.33
18,PieFace,1030,91,0.593,0.438,0.572,0.532,0.934,22,65,54.55,41.54
19,Dream,1030,5,0.0,0.46,0.68,0.559,0.523,0,5,0.0,80.0
20,Ethan,1029,373,0.534,0.404,0.671,0.53,0.999,72,282,41.67,43.26
21,MrBeast,1019,6,0.617,0.378,0.625,0.536,0.551,2,4,50.0,50.0
22,ArthurTV,1018,22,0.527,0.375,0.72,0.532,0.593,4,18,50.0,44.44
23,Ellum,1014,54,0.508,0.36,0.714,0.518,0.796,10,44,40.0,50.0
24,DannyAarons,1013,136,0.56,0.341,0.661,0.514,0.98,36,90,38.89,50.0
25,Josh,1010,398,0.515,0.394,0.64,0.51,1.0,90,288,43.33,44.1
26,MaxFosh,1008,32,0.44,0.482,0.635,0.513,0.634,10,20,20.0,60.0
27,Karl,1007,6,0.0,0.424,0.625,0.514,0.526,0,6,0.0,50.0
28,Harry,1003,342,0.515,0.366,0.651,0.503,0.996,53,267,47.17,45.32
29,Viz,997,176,0.513,0.34,0.663,0.497,0.963,28,129,42.86,48.84
30,Lachlan,994,168,0.522,0.321,0.664,0.494,0.979,35,124,34.29,40.32
31,Callux,994,34,0.503,0.281,0.721,0.491,0.639,4,26,50.0,46.15
32,Randolph,987,168,0.496,0.34,0.648,0.487,0.977,34,129,32.35,38.76
33,JJ,981,310,0.509,0.319,0.64,0.482,1.0,79,213,46.84,43.19
34,ChrisMD,981,34,0.492,0.273,0.682,0.472,0.658,3,31,33.33,38.71
35,Ciaran,979,9,0.0,0.347,0.6,0.461,0.531,0,8,0.0,62.5
36,Liam,976,6,0.0,0.315,0.625,0.455,0.526,0,6,0.0,50.0
37,TommyInnit,975,8,0.467,0.376,0.536,0.456,0.556,3,5,0.0,40.0
38,Calfreezy,974,32,0.48,0.278,0.65,0.46,0.641,8,24,50.0,33.33
39,Deji,967,257,0.463,0.289,0.681,0.468,0.994,48,181,35.42,44.2
40,George Clarkey,962,25,0.494,0.261,0.576,0.437,0.597,6,16,33.33,43.75
41,AB,961,16,0.333,0.419,0.568,0.434,0.572,3,13,0.0,46.15
42,Ninja,960,10,0.0,0.298,0.585,0.427,0.537,0,10,0.0,50.0
43,WillNE,956,20,0.31,0.368,0.625,0.425,0.585,2,18,0.0,55.56
44,Theo,955,18,0.401,0.2,0.709,0.423,0.58,5,13,40.0,38.46
45,Burn Peanut,954,8,0.55,0.205,0.513,0.418,0.553,1,7,100.0,14.29
46,Tom Syndicate,949,9,0.604,0.172,0.456,0.408,0.555,1,8,100.0,12.5
47,Ginge,947,39,0.301,0.424,0.558,0.421,0.666,9,25,0.0,40.0
48,Finn,947,3,0.0,0.276,0.55,0.399,0.519,0,3,0.0,33.33
49,Chip,943,17,0.327,0.336,0.562,0.401,0.569,1,14,0.0,57.14
50,Apex,935,7,0.417,0.272,0.471,0.383,0.551,1,6,0.0,33.33
51,Anita,934,9,0.508,0.172,0.478,0.381,0.555,1,8,100.0,12.5
52,AliA,916,10,0.0,0.204,0.515,0.344,0.534,0,9,0.0,33.33
53,Wilbur,916,8,0.191,0.341,0.544,0.349,0.554,2,6,0.0,50.0
54,Memeulous,904,12,0.229,0.328,0.446,0.329,0.559,4,4,0.0,75.0
55,Jarvis,898,7,0.296,0.154,0.529,0.316,0.551,1,6,0.0,33.33
56,Jynxzi,885,7,0.313,0.179,0.4,0.292,0.549,2,1,0.0,0.0
57,Louu,840,8,0.05,0.254,0.35,0.211,0.551,1,6,0.0,0.0
